ticket_id,category,priority,subject,description,resolution
TCK-2026-001,Authentication,High,VPN Girişinde 'Certificate Validation Failed' Hatası,Kullanıcı şirket ağına FortiClient VPN üzerinden bağlanmaya çalıştığında 'Certificate Validation Failed' uyarısı alıyor ve bağlantı %98'de kesiliyor.,"1. Kullanıcı bilgisayarında `certmgr.msc` çalıştırıldı.
2. 'Trusted Root Certification Authorities' altında süresi dolmuş kurumsal kök sertifika silindi.
3. Yeni CA sertifikası iç portal üzerinden indirilip yeniden yüklendi.
4. VPN servisi yeniden başlatılarak bağlantı başarıyla kuruldu."
TCK-2026-002,Account Management,Medium,Active Directory Hesap Kilidi ve Şifre Sıfırlama,Kullanıcı sabah giriş yaparken 3 kez hatalı şifre girdiği için hesabı kilitlendi (Account is locked out).,"1. Active Directory Users and Computers konsolunda kullanıcı bulundu.
2. 'Account is locked out' kutucuğunun işareti kaldırılarak hesap kilidi açıldı.
3. Geçici bir parola tanımlandı ve 'User must change password at next logon' seçeneği işaretlendi."
TCK-2026-003,Print Services,Low,Yazıcı Kuyruğunda Belge Kilitlenmesi (Spooler Error),Muhasebe departmanı yazıcısına gönderilen 100 sayfalık PDF belgesi takıldı ve arkasından gelen hiçbir yazdırma görevi çalışmıyor.,"1. Yönetici olarak komut satırı açıldı.
2. `net stop spooler` komutu ile yazdırma servisi durduruldu.
3. `C:\Windows\System32\spool\PRINTERS` dizini altındaki tüm `.SPL` ve `.SHD` dosyaları temizlendi.
4. `net start spooler` komutuyla servis tekrar başlatıldı ve test sayfası yazdırıldı."
TCK-2026-004,Email & Collaboration,Medium,Outlook 'Disconnected' Durumunda Kalıyor ve Senkronize Olmuyor,"Outlook istemcisi sürekli 'Disconnected' veya 'Need Password' uyarısı veriyor, mailler gelen kutusuna düşmüyor.","1. Windows Credential Manager (Kimlik Bilgisi Yöneticisi) açılarak Office/Outlook ile ilgili eski kimlik kayıtları silindi.
2. Outlook güvenli modda (`outlook.exe /safe`) başlatıldı.
3. Modern Authentication doğrulama ekranı tetiklenerek kullanıcı hesabı yeniden bağlandı."
TCK-2026-005,Network,High,Ortak Ağ Sürücüsü (Z: Drive) Bağlantı Hatası,Kullanıcı ortak ağ paylaşımına bağlanmak istediğinde 'The local device name is already in use' veya 'Network path not found' hatası alıyor.,"1. PowerShell açılarak `net use Z: /delete` çalıştırıldı.
2. `ipconfig /flushdns` ile DNS önbelleği temizlendi.
3. Paylaşım yolu IP yerine FQDN ile `net use Z: \\fileserver.corp.local\Shared /persistent:yes` komutuyla yeniden bağlandı."
TCK-2026-006,Hardware & Peripherals,Medium,Çift Monitör Kurulumunda İkinci Ekran Algılanmıyor,Type-C docking station üzerinden bağlanan ikinci monitör 'No Signal' hatası veriyor.,"1. DisplayPort kablosu ve dock bağlantıları kontrol edildi.
2. Intel Graphics Command Center açılarak 'Detect Displays' çalıştırıldı.
3. Ekran kartı sürücüsü aygıt yöneticisinden güncellendi."
TCK-2026-007,Software License,High,Kurumsal Yazılım Lisans Sunucusu Bağlantı Hatası (FLEXlm Error -15),"Mühendislik yazılımı açılırken 'Cannot connect to license server system (FLEXlm -15,10)' hatası veriyor.","1. `telnet lic-server.corp.local 27000` ile lisans portu kontrol edildi ve firewall kuralı eklendi.
2. İstemci üzerindeki `ADSKFLEX_LICENSE_FILE` ortam değişkeni güncellendi."
TCK-2026-008,Security,Critical,BitLocker Kurtarma Anahtarı (Recovery Key) Talebi,Kullanıcı BIOS güncellemesi sonrası mavi ekranda BitLocker Recovery Key istemiyle karşılaştı.,"1. Active Directory veya Azure AD / Intune portalı üzerinden bilgisayar adına ait 48 haneli BitLocker Recovery Password çekildi.
2. Kullanıcıya iletilerek disk kilidi açıldı ve TPM çipi doğrulandı."
TCK-2026-009,Storage,Medium,C: Sürücüsü Doldu - Sistem Güncellemesi Yapılamıyor,Kullanıcı bilgisayarında C: sürücüsünde 200 MB boş alan kaldığı için Windows güncellemeleri başarısız oluyor.,"1. `cleanmgr.exe /verylowdisk` ile Windows Temp ve eski güncelleme dosyaları temizlendi.
2. `C:\Windows\SoftwareDistribution\Download` klasörü boşaltıldı.
3. 18 GB disk alanı kazandırıldı."
TCK-2026-010,Remote Desktop,High,RDP 'An authentication error has occurred (CredSSP)' Hatası,Uzak masaüstü sunucusuna bağlanırken CredSSP Encryption Oracle Remediation hatası alınıyor.,"1. Sunucu ve istemcide en güncel Windows Cumulative Update yüklendi.
2. İstemcide `gpedit.msc` -> Administrative Templates -> System -> Credentials Delegation altındaki CredSSP politikası güncellendi."
